name,bronze,silver,gold,total
Namibia,0,1,0,1
Saudi Arabia,0,1,0,1
Turkmenistan,0,1,0,1
Bahrain,0,1,0,1
North Macedonia,0,1,0,1
Lithuania,0,1,0,1
Vietnam,0,0,0,0
Saint Lucia,0,0,0,0
Belize,0,0,0,0
Togo,0,0,0,0
South Sudan,0,0,0,0
Palau,0,0,0,0
Dominica,0,0,0,0
Micronesia,0,0,0,0
Comoros,0,0,0,0
Sao Tome and Principe,0,0,0,0
Kiribati,0,0,0,0
Antigua and Barbuda,0,0,0,0
Honduras,0,0,0,0
Pakistan,0,0,0,0
Paraguay,0,0,0,0
Eswatini,0,0,0,0
Andorra,0,0,0,0
Saint Kitts and Nevis,0,0,0,0
Sri Lanka,0,0,0,0
Bolivia,0,0,0,0
Guinea-Bissau,0,0,0,0
Rwanda,0,0,0,0
Solomon Islands,0,0,0,0
Iraq,0,0,0,0
Iceland,0,0,0,0
Uruguay,0,0,0,0
Peru,0,0,0,0
Djibouti,0,0,0,0
Tonga,0,0,0,0
Mali,0,0,0,0
El Salvador,0,0,0,0
Chad,0,0,0,0
Niger,0,0,0,0
Malta,0,0,0,0
Trinidad and Tobago,0,0,0,0
Nicaragua,0,0,0,0
Madagascar,0,0,0,0
Sierra Leone,0,0,0,0
Senegal,0,0,0,0
Eritrea,0,0,0,0
Mauritania,0,0,0,0
Gambia,0,0,0,0
Cambodia,0,0,0,0
Luxembourg,0,0,0,0
Angola,0,0,0,0
Lao P.D.R.,0,0,0,0
Tuvalu,0,0,0,0
Cameroon,0,0,0,0
Cyprus,0,0,0,0
Brunei Darussalam,0,0,0,0
United Arab Emirates,0,0,0,0
Burundi,0,0,0,0
Somalia,0,0,0,0
Bosnia and Herzegovina,0,0,0,0
Guatemala,0,0,0,0
Mozambique,0,0,0,0
Liechtenstein,0,0,0,0
Chile,0,0,0,0
Suriname,0,0,0,0
Palestine,0,0,0,0
Equatorial Guinea,0,0,0,0
Guyana,0,0,0,0
Algeria,0,0,0,0
Montenegro,0,0,0,0
Panama,0,0,0,0
Cape Verde,0,0,0,0
Cayman Islands,0,0,0,0
Liberia,0,0,0,0
Malawi,0,0,0,0
American Samoa,0,0,0,0
Mauritius,0,0,0,0
Tanzania,0,0,0,0
"Virgin Islands, British",0,0,0,0
Central African Republic,0,0,0,0
Guam,0,0,0,0
Zambia,0,0,0,0
Congo,0,0,0,0
Afghanistan,0,0,0,0
Haiti,0,0,0,0
Aruba,0,0,0,0
